Trait,PValue_PBS,FWER_PBS,PValue_LRT,Timepoint,NSim,NExtreme,BootstrapTime,Effect,SE,TraitSD,TraitTransform
n.eos,0.11003143755358674,0.9902829379822806,0.0014816659725985781,13 Months,10496,1154,11.14600000000064,0.92146746012289,0.5064730704300484,0.6793088406668738,log
plt,0.20266793711291092,1,0.20130357502959006,13 Months,10494,2126,11.039999999997235,-0.0012194587298550118,8.756476081721742e-4,430.63260858626194,none
mpv,0.9136896256073164,1,0.8823995018042533,13 Months,10496,9590,11.192999999999302,-0.05906639563838237,0.5640469206283552,0.6510586912116795,none
mpm,3.810612555968372e-4,0.005715918833952558,4.367101901625592e-4,13 Months,10496,3,11.151999999998225,-20.357693762371532,5.005438094917359,0.06721814292768882,log
rbc,6.562238918386316e-5,6.572033304831668e-4,5.600732301314082e-5,19 Months,1020992,66,1025.4279999999999,1.0925044198380527,0.21805747028167385,1.404076691004444,none
ch,0.5848337620272459,1,0.5851976159642989,19 Months,10496,6138,11.625,0.2744577487317357,0.3104759472715869,1.028249854349226,none
chcm,0.0015242450223873487,0.01371820520148614,0.0012270280303707803,19 Months,10496,15,10.91899999999805,1.0234490595511403,0.2539455162090914,1.2221917995849352,none
hdw,9.49648767655039e-8,1.5194380282480624e-6,3.4017233474514796e-13,19 Months,10530208,0,11748.909999999996,-14.490690961999602,1.902883594301661,0.1557926654150483,log
mcv,0.4933362464496395,1,0.48082991864850344,19 Months,9153,4515,11.870999999999185,-4.213653948121286,3.8617034574347917,0.08194525029932653,log
rdw,8.31878447252293e-8,1.414193360328898e-6,9.603429163007604e-14,19 Months,12020986,0,12218.366999999998,-17.131685015693364,2.065266128284255,0.1423193684076304,log
hct,3.917758415345076e-6,4.701310098414091e-5,3.6498357970371487e-6,19 Months,1020991,3,1046.5110000000059,0.33621095517970445,0.057449375609568885,5.294519540586901,none
hgb,5.974914917211579e-7,8.36488088409621e-6,1.1247481179754715e-7,19 Months,5020991,2,5065.082999999999,1.0447127409274395,0.15781676059779343,1.918785299801565,none
wbc,0.6086500905020482,1,0.614170798926623,19 Months,10496,6388,11.546000000002095,-0.6661447316148521,0.6278128909266342,0.5009714687816326,log
nlr,4.982566829092809e-7,7.473850243639214e-6,9.839724923743631e-9,19 Months,6020992,2,6121.139999999999,-2.6245530231842507,0.4248870914148547,0.7230568645326295,log
n.lymph,0.17138229970467753,1,0.02148319489153727,19 Months,10496,1798,11.645000000004075,0.739594665736616,0.49226935647659564,0.6389725256638294,log
n.neut,2.968837596171783e-6,3.8594888750233174e-5,1.2959286632696632e-7,19 Months,2020992,5,2054.4189999999944,-3.1085692833392997,0.541830637405726,0.5722020804872587,log
n.mono,0.11146041726207488,0.891683338096599,0.012566235719039032,19 Months,10496,1169,11.506999999997788,-1.0777098274686105,0.5254277970135915,0.6041238160816093,log
n.eos,0.3687720301038392,1,0.0017817021886805673,19 Months,10496,3870,11.687999999994645,0.5420865450177939,0.46359220497009446,0.6809094311281928,log
plt,0.42450223873487664,1,0.05819132276171979,19 Months,10496,4455,11.447000000000116,-0.001023240589830082,6.323926810821927e-4,545.2993526912152,none
mpv,0.3747947851279575,1,0.053718304585635535,19 Months,10354,3880,10.752999999996973,-0.988529651261436,0.47263788536400153,0.6846018366903919,none
mpm,5.974575731665153e-5,6.572033304831668e-4,3.2744349350855018e-6,19 Months,1020992,60,1037.3500000000058,-18.1707912309098,3.8602724623784015,0.07975812570456758,log
